,old_user,old_item,user,item
0,7026,590,254,24
1,1507,138940,67,681
2,1832,172803,75,818
3,1832,183565,75,855
4,6884,138544,248,679
5,8446,145524,289,717
6,9168,128878,323,630
7,9168,135765,323,668
8,12448,141940,454,694
9,12448,185669,454,863
10,13446,186559,489,866
11,13663,5870,497,155
12,14129,169668,526,798
13,19483,172625,691,816
14,24181,131150,845,640
15,30074,114856,1036,573
16,30074,118115,1036,590
17,30074,142558,1036,696
18,30074,147138,1036,723
19,33545,154317,1172,750
20,36097,27359,1281,260
21,36097,87771,1281,469
22,36097,90059,1281,481
23,40178,123675,1410,617
24,42494,69072,1486,382
25,42494,74226,1486,410
26,45067,70821,1563,388
27,45370,131718,1576,644
28,45370,134575,1576,662
29,54740,183055,1891,852
30,58523,173311,2005,820
31,60278,107400,2075,557
32,62573,174921,2144,825
33,68461,145188,2324,715
34,68461,181845,2324,847
35,68461,181877,2324,848
36,68461,181937,2324,849
37,68461,182011,2324,850
38,69860,188519,2379,872
39,72019,140297,2457,688
40,73145,26027,2496,240
41,73145,55373,2496,345
42,73145,84498,2496,452
43,73145,88168,2496,472
44,73145,101352,2496,530
45,73145,110435,2496,564
46,73145,119043,2496,594
47,73145,120881,2496,600
48,73145,120907,2496,601
49,73145,121221,2496,604
50,73145,121519,2496,607
51,73145,128669,2496,628
52,73145,132816,2496,647
53,73145,134282,2496,659
54,73145,134453,2496,660
55,73145,134497,2496,661
56,73145,151767,2496,737
57,73145,153730,2496,749
58,73145,157468,2496,757
59,73145,185253,2496,861
60,74447,183819,2543,857
61,79922,39075,2734,300
62,82215,131058,2799,638
63,82215,171615,2799,811
64,86459,97165,2962,513
65,86976,177695,2974,835
66,87369,115176,2985,577
67,88114,118788,3014,593
68,88495,123083,3033,614
69,89524,82390,3072,439
70,89524,86170,3072,461
71,89524,100365,3072,526
72,89524,104823,3072,547
73,89524,106417,3072,554
74,89524,115602,3072,579
75,89524,118232,3072,591
76,89524,124699,3072,618
77,89524,138032,3072,676
78,89524,140870,3072,691
79,89524,152115,3072,740
80,89524,166894,3072,788
81,89524,187325,3072,867
82,89524,190407,3072,874
83,92505,119575,3183,596
84,95717,101666,3281,533
85,95717,186429,3281,865
86,95960,92453,3289,491
87,96557,163717,3311,776
88,96557,171743,3311,812
89,96557,172043,3311,813
90,98450,131180,3376,641
91,100643,80109,3467,427
92,100708,61091,3470,368
93,101957,143882,3510,705
94,103052,130998,3551,637
95,106417,156960,3668,755
96,109396,138802,3770,680
97,112148,58136,3868,356
98,112246,136972,3872,674
99,113755,54239,3926,340
100,113755,60707,3926,366
101,113755,72726,3926,399
102,113755,82175,3926,438
103,113755,84455,3926,451
104,113755,84794,3926,454
105,113755,87012,3926,466
106,113755,88564,3926,473
107,113755,90021,3926,480
108,113755,90545,3926,482
109,113755,91997,3926,489
110,117958,164863,4078,779
111,119034,114906,4123,574
112,120842,99800,4201,523
113,125637,73501,4376,405
114,130304,45537,4545,317
115,130304,108696,4545,559
116,133164,159789,4651,761
117,134854,91586,4718,486
118,134854,102606,4718,536
119,134872,183161,4719,853
120,135351,102850,4740,538
121,136178,93516,4763,497
122,136495,190599,4772,875
123,137096,26047,4793,241
124,137096,122577,4793,610
125,137096,128516,4793,626
126,137096,145574,4793,718
127,137096,175219,4793,827
128,137096,193205,4793,878
129,140151,133217,4895,650
130,140371,143502,4904,702
131,140866,82836,4927,442
132,140866,133455,4927,652
133,142057,33393,4977,290
134,142057,99689,4977,522
135,142253,145144,4982,714
136,142253,164185,4982,777
137,142253,183895,4982,858
138,142253,189513,4982,873
139,144523,137339,5056,675
140,146760,146421,5121,721
141,152496,182551,5329,851
142,155976,121282,5431,605
143,155976,123034,5431,613
144,155976,149530,5431,732
145,161754,166465,5654,785
146,161754,170825,5654,805
147,162908,73919,5698,406
148,165149,72336,5802,396
149,167916,88158,5909,471
150,169075,113849,5944,571
151,170008,178921,5975,841
152,170514,116678,6001,584
153,172218,158741,6060,759
154,177307,84226,6264,448
155,177307,144486,6264,710
156,177307,153174,6264,747
157,177307,188055,6264,868
158,182166,86436,6447,462
159,182166,87069,6447,467
160,182166,140080,6447,686
161,183200,25919,6474,237
162,183200,106243,6474,553
163,183200,116487,6474,583
164,183200,130046,6474,634
165,183200,144336,6474,706
166,183200,145522,6474,716
167,183200,148978,6474,730
168,183200,152751,6474,743
169,183200,152972,6474,746
170,184787,135837,6534,669
171,184787,144984,6534,713
172,184787,151975,6534,738
173,184787,152890,6534,745
174,185670,27911,6572,266
175,188332,136646,6684,672
176,193509,166247,6840,784
177,193807,78757,6847,421
178,193807,125543,6847,621
179,193807,167980,6847,792
180,200554,56449,7054,350
181,200587,160327,7057,762
182,204076,122801,7170,611
183,213198,125966,7487,622
184,216280,133201,7593,649
185,216280,140565,7593,689
186,225092,7750,7909,201
187,225092,32109,7909,278
188,229860,174013,8066,821
189,232485,167848,8166,791
190,234527,46748,8237,321
